PPN;SYS
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
863902669;001146549
037712896;001318912
11417766X;001449961
048521213;001251475
059245093;000157326
047596856;001446491
06407241X;000962410
062816209;000711657
11230883X;001405325
167768778;001725603
063608669;000889544
036999784;001310158
04860948X;001401077
060738308;000452202
266545734;001029945
037445901;000939841
864939396;000818180
102530947;001347304
102632251;001345223
10788898X;001367877
852129807;001363689
036404764;001281131
098259237;001322378
26654374X;001314918
055455875;001481123
850932963;001292954
11510772X;001466028
080176992;001218111
05204016X;001447032
05760164X;001494471
037098462;001313077
037098462;001313077
037098462;001313077
037098462;001313077
051573962;001431218
051573962;001431218
051573962;001431218
051573962;001431218
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
185368859;001370325
843898755;001369586
843898755;001369586
843898755;001369586
843898755;001369586
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
840234155;001314439
087125978;001254963
038166011;001324667
056815662;000685631
107386135;001363479
048896608;001362565
040249379;001296180
05630420X;001488968
094889856;001293952
120328658;001495769
048804428;001408669
112381316;001408410
842825959;001391984
138932891;001566145
094679207;001467686
86489595X;001255856
057148333;001427166
843680121;001369600
097704806;001317965
109672704;001381317
141152427;001579794
051211467;001332011
112313612;001373441
852639260;001470582
056013337;001296193
094778922;001296195
056012365;001296208
040891658;001358465
120874970;001483884
055781373;001481231
114665850;001461597
037447785;001302183
865683034;001266854
120518988;001498693
096670398;001308068
852388268;001430740
099913313;001327322
099913313;001325262
057160716;001129717
108067912;001369649
086978330;001253202
053481658;001465886
078183960;001264291
086627740;001249595
851651615;001476886
047624841;001390524
862196469;001293441
096750405;001354596
267356757;001432528
048588636;001362442
079123767;001492005
080231276;001284920
094937354;001467684
10929999X;001378482
056040407;001293058
08837856X;001267201
043057543;001405642
043231616;001369514
040579026;001356262
862894697;001238479
036958301;001285827
120874997;001483885
056087837;001465637
107161311;001361641
062684132;000685309
062689673;000686425
054275598;001472757
088250725;001266834
05541480X;001430845
090974344;001283732
086627872;001249597
037306820;001303260
097327107;001314711
078931908;
055416985;001278405
096362103;001264482
084342412;001228851
093705875;001294064
056043430;000681348
86169077X;001264347
124227368;001499126
036232408;000936133
114170770;001449822
100945821;001336559
122358465;001508733
050156624;001433239
052001520;001434165
185368883;001370318
10735330X;001363091
864960646;001256002
078358620;001492340
056307128;001370326
111163587;001394226
056325495;001498048
06391008X;000936224
103891536;001349698
108067394;001367393
11236943X;001406180
101461763;001340537
113953488;001447313
038118777;001319238
865149828;001361681
86377024X;001241737
22599545X;001465244
093403887;001292364
056371349;001380341
047056371;001485147
056743718;001355444
041106709;001465192
105184276;001355231
056226160;001237817
85240297X;001236521
863722814;001307700
051826712;001472803
051615606;001292792
084900091;001233274
053449541;001465881
04842241X;001294969
050770276;001391742
096930632;001310170
079135692;001378476
840195079;001293299
11504082X;001465216
11991977X;001492450
040686698;001356717
267390157;001492436
106045024;001356835
100716733;001369574
053175085;001256027
097945269;001432591
036329479;001261125
850713269;001364946
861675657;001271735
864614942;001255382
106943731;001357699
087870908;001262040
048568570;001396110
852873476;001333286
040929396;001354191
117304018;001476767
064073203;000967632
037439146;000737451
863787894;001232011
863787894;001232011
863787894;001232011
863787894;001232011
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
830825363;001380083
830825363;001380083
830825363;001380083
830825363;001380083
097275891;001314231
86344248X;001249384
86344248X;001249384
86344248X;001249384
86344248X;001249384
148267688;000007983
148267688;000007983
148267688;000007983
148267688;000007983
058039023;001497019
822616394;001499379
83036949X;000805278
089349032;001271578
062688510;000686187
850099900;000548309
833262483;001449708
052888908;000800904
094775419;001296150
863625835;001296184
852476647;000684323
853388679;000158212
049657003;001431903
174191480;001774499
117292028;001850843
062924583;000735688
087227231;001256036
094825599;001296595
062508385;000670859
042627222;001632580
151424942;001633149
86435407X;001526805
790870002;000470853
851906923;001592023
86523907X;000308529
090814932;001281761
059834579;000307248
06424542X;001036404
852503768;001269006
842820434;001230264
106060007;001356995
093407734;001335744
843996943;
079581811;001496602
85074038X;001332550
047573376;000158210
059835281;000307495
059253576;000159459
063926768;000940556
059085991;001085278
059085991;000089971
059838639;000308836
059514132;000214007
15027601X;001813512
036704342;000156601
10948827X;001379568
086207393;001244685
046884165;001384426
117266248;001476371
175511969;001494530
048275646;000909203
036346667;001447164
087871114;001262041
036228656;001377969
051222957;000144277
063541378;000885309
059255811;000159985
086072803;001242613
860162311;001404525
85334681X;001466170
85334681X;001466170
85334681X;001466170
85334681X;001466170
104785209;001353619
101009925;001336975
830377808;001469291
863440916;001230614
03986927X;001343476
044057768;001435113
051687496;000873437
05309462X;000799764
061769878;000603133
059261277;000161872
060859032;000489694
062860143;000723791
863787894;001232011
863787894;001232011
863787894;001232011
863787894;001232011
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
085763535;001838605
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
084004797;001360407
86344248X;001249384
86344248X;001249384
86344248X;001249384
86344248X;001249384
830825363;001380083
830825363;001380083
830825363;001380083
830825363;001380083
148267688;000007983
148267688;000007983
148267688;000007983
148267688;000007983
85334681X;001466170
85334681X;001466170
85334681X;001466170
85334681X;001466170
170564177;001746354
048617326;001394752
119422425;001486771
11942228X;001486768
173563163;001768121
104217685;001759848
107505274;001361993
107013606;001361208
03649870X;001260233
267315147;001339525
109141903;001377947
053439236;001319088
036384518;001132012
126212872;001700644
176924280;001793632
119088207;001485587
850730929;000660840
10067495X;001646569
063160811;001646062
060021624;001779282
180806017;001805005
059463414;000237422
810310694;001744445
036812056;001847957
112274005;001404797
082977860;001344345
113691130;001433541
06293211X;000736794
05926246X;000162162
088252124;000985598
090545656;001843659
258702796;000737342
062771337;000701449
053478789;000723618
045875200;000999067
173310265;001766149
062932802;000736892
045076081;000964467
104091606;001496768
049737554;000682404
103788344;001349022
036301019;000723475
055218466;001766910
05901587X;000071334
861995562;000559903
156480018;000969908
062699180;000688447
114495726;001453844
056742827;001500397
046668330;001432334
055338747;001479470
