ID;Filename
1874-348584;0214880001.tif
1874-348586;0214910001.tif
1874-348587;0214920001.tif
1874-348588;0214930001.tif
1874-348589;0214940001.tif
1874-348590;0214950001.tif
1874-348591;0214960001.tif
1874-351613;0215000001.tif
1874-348595;0215010001.tif
1874-348596;0215020001.tif
1874-348597;0215030001.tif
1874-348598;0215040001.tif
1874-348599;0215050001.tif
1874-348603;0215100001.tif
1874-352103;0215060001.tif
1874-348600;0215070001.tif
1874-348601;0215080001.tif
1874-348602;0215090001.tif
1874-348604;0215150001.tif
1874-348605;0215160001.tif
1874-348654;0215170001.tif
1874-348655;0215180001.tif
1874-348656;0215190001.tif
1874-348657;0215200001.tif
1874-348658;0215210001.tif
1874-348659;0215220001.tif
1874-348660;0215230001.tif
1874-348661;0215240001.tif
1874-348662;0215250001.tif
1874-348663;0215260001.tif
1874-348664;0215270001.tif
1874-348665;0215280001.tif
1874-348666;0215290001.tif
1874-348667;0215300001.tif
1874-348668;0215310001.tif
1874-348669;0215320001.tif
1874-348670;0215330001.tif
1874-348672;0215350001.tif
1874-348671;0215340001.tif
1874-350051;0215450001.tif
1874-348673;0215470001.tif
1874-348674;0215480001.tif
1874-348675;0215490001.tif
1874-348676;0215500001.tif
1874-348677;0215520001.tif
1874-348678;0215530001.tif
1874-351614;0215540005.tif
1874-348679;0215550001.tif
1874-348680;0215560001.tif
1874-348681;0215570001.tif
1874-348682;0215580001.tif
1874-348683;0215590001.tif
1874-348685;0215610001.tif
1874-348684;0215600001.tif
1874-348692;0215810001.tif
1874-351615;0215820004.tif
1874-348693;0215830001.tif
1874-348694;0215840001.tif
1874-351616;0215860001.tif
1874-348695;0215850001.tif
1874-348696;0215870001.tif
1874-351953;0215880001.tif
1874-348697;0215890001.tif
1874-348698;0215900001.tif
1874-348699;0215910001.tif
1874-348700;0215920001.tif
1874-348701;0215930001.tif
1874-348704;0215960001.tif
1874-348705;0215970001.tif
1874-348707;0215990001.tif
1874-348708;0216000001.tif
1874-348709;0216010001.tif
1874-350054;0216050001.tif
1874-351911;0224160001.tif
1874-351912;0224170001.tif
1874-351913;0224180001.tif
1874-350060;0218010001.tif
1874-350061;0218020001.tif
1874-348710;0216080001.tif
1874-348711;0216090001.tif
1874-348712;0216100001.tif
1874-348713;0216110001.tif
1874-348744;0216660001.tif
1874-348714;0216120001.tif
1874-348715;0216130001.tif
1874-352104;0216140001.tif
1874-348716;0216150001.tif
1874-348717;0216160001.tif
1874-348718;0216170001.tif
1874-351617a;0216180002.tif
1874-351617b;0216180003.tif
1874-351617c;0216180004.tif
